file_name,transcript,parl_intent_intent_1,parl_intent_intent_2,parl_intent_intent_3
1618_dd52b2e0377011ed93df0603bdd00153.wav,Unity and Kenyans of goodwill to pass our deepest condolences for the many lives that were lost of more than 50 people in West Park Court and also wish the quick recovery to the many who are still recuperating in various health.,The speaker is expressing sympathy and condolences to the victims and their families.,The speaker is acknowledging the severity of the incident and its impact on the community.,The speaker is offering support and well-wishes to those affected by the incident.
1619_062a1d22376f11edbaf70603bdd00153.wav,"We have set up in this bill the county disaster risk management comprise of the governor, county representatives, county commissioner, county police commander, representative of Kenya, Red Cross, etcetera, etcetera in the case of Kilifi.",The speaker is outlining the composition of the county disaster risk management team.,The speaker is providing details about the specific members involved in the team for Kilifi.,The speaker is clarifying the structure of the county disaster risk management team as established in the bill.
1620_c4fd8130376a11edbaf70603bdd00153.wav,"Argentina. The economy has collapsed. Now it's technically insolvent because of heavy borrowing and of course, borrowing from the same Chinese. Madam Speaker, we are staring at a serious danger and the state.",The speaker is warning about a serious economic danger facing the state.,The speaker is expressing concern about the country's financial situation.,The speaker is drawing attention to the consequences of heavy borrowing and reliance on foreign lenders.
1622_c30873de376111ed86640603bdd00153.wav,Standing order 251 if 3. Ohh the Whose phone is that? Mr. Speak.,Requesting clarification,Interrupting proceedings,Seeking attention
1623_47be4060377411ed97f90603bdd00153.wav,"When they gave the first boundaries, I remember that time where the huge bulk enforces with the regarding the commission because as at one month to the expiry, they were expiring on November 27th, 2012, must be 2012",The speaker is referencing a past event to provide context for their argument.,The speaker is highlighting a specific date to emphasize the urgency or significance of the issue.,The speaker is attempting to establish a connection between past actions and current circumstances.
1624_3e3341be376811ed97f50603bdd00153.wav,"In the public sector and when we are talking of issues of administration in the public sector, Mr speaker, we are talking of something that has not been done or something that has been done wrong you know, so that eventually, the common man",The speaker is criticizing the current state of administration in the public sector.,The speaker is highlighting the need for improvement in public sector administration.,The speaker is attempting to establish a connection between poor administration and its impact on the common man.
1625_2dd43cde376c11edbaf70603bdd00153.wav,"Would picture for women. Here in the Senate, I'm proud of all the women senators that were elected duly and we are very proud of them Mr. Speaker. Mr. Speaker, I think women issue should be given priority, finally, Mr. Speaker een as we have the national discuss, and even as we have the validation ",The speaker is expressing pride and appreciation for the women senators who were elected.,The speaker is advocating for women's issues to be prioritized.,The speaker is suggesting that women's issues should be discussed and validated at the national level.
1626_a8bbe620376e11eda89d0603bdd00153.wav,"[inaudible] Senator [inaudible]  what's your point of intervention. Sorry to interrupt my good friend, senator Mwaruma but the last time",Requesting to make a point of intervention,Interrupting a colleague to make a statement,Clarifying the opportunity to speak
1627_d63276f6375e11ed8a810603bdd00153.wav,National ID's be conducted alongside voter registration and finally provide timely and long-term solution to the delayed issuance of the National ID's in order to prevent a repeat of the same in the future. I thank you Mr Speaker.,The speaker is proposing a solution to address the issue of delayed National ID issuance.,The speaker is seeking to prevent future delays in National ID issuance.,The speaker is expressing gratitude to the Speaker for allowing them to address the issue.
1628_e0b05f70377311edbaf70603bdd00153.wav,For the sake of this country. When I look at him I see an inspiration for our generation. And 30 years on it is very easy to forget this man. And that is why I stand here to urge this August house  that we resolve just like other great leaders. ,The speaker is paying tribute to a notable figure and encouraging the house to recognize their significance.,The speaker is urging the house to take action in a manner similar to other great leaders.,The speaker is reminding the house of the importance of honoring and learning from past leaders.
1629_fa138ec0376311edb72e0603bdd00153.wav,"We need to be honest because when you hear some of these governors are saying lockdown, lockdown, in fact Inande, I was surprised. It is, thank God we have more teaching and referral which as I see, Inande the ""inaudible"" are only seen in paper ",The speaker is expressing skepticism towards the idea of lockdowns and questioning the effectiveness of the measures proposed by some governors.,"The speaker is highlighting the importance of honesty in decision-making, particularly in the context of the current situation.","The speaker is pointing out the limitations of certain measures, such as the lack of practical implementation of 'inaudible' measures, which are only seen on paper."
1630_54750be4377011edbaf70603bdd00153.wav,"By it and look at the implementation of TJRC report, I think the main concern that Kenyans are complaining today is about historical injustices. If we do not, if we do not arrest this issue of Isiolo 10 years, 15 years from now, 20 years now, we'll be talking about land historic.",The speaker is warning about the consequences of not addressing historical injustices.,The speaker is emphasizing the urgency of resolving the Isiolo issue to prevent future problems.,The speaker is highlighting the long-term implications of neglecting the current issue.
1631_26185e76377611ed97f90603bdd00153.wav,"A report on the fight against institutionalized corruptio, Even if there's a follow up on the list of shame that you tabled in the last address To find out the status report on how far the government has gone.",The speaker is requesting an update on the government's progress in addressing institutionalized corruption.,The speaker is seeking information on the status of a previous proposal or initiative related to corruption.,The speaker is inquiring about the effectiveness of the government's efforts to combat corruption.
1632_830a6240376311ed90f30603bdd00153.wav,That we have without incurring that amount of money to a particular private investors. And these questions have been raised and raised and raised again. Can the Committee of Finance. Committee of Health.,The speaker is questioning the allocation of funds to private investors.,The speaker is seeking clarification on the handling of financial matters by the Committee of Finance and Committee of Health.,The speaker is expressing skepticism or concern about the proposed financial arrangement.
1633_65f59b36376111ed97f50603bdd00153.wav,"Maritime waters. One, to protect the waters, to to chase away fish poachers,and three, to assert our ownership of territory. They don't do.This. That's why even Somalia in its state is terrorism.",The speaker is advocating for a policy to protect maritime waters and assert territorial ownership.,The speaker is justifying the need for a policy to protect maritime waters and assert territorial ownership.,The speaker is criticizing the current state of affairs in Somalia and drawing a parallel with the need for a policy to protect maritime waters and assert territorial ownership.
1634_304e48b6376b11ed97f90603bdd00153.wav,"I would argue that use your powers properly and see what you can do,are you suggesting I'm not using my powers properly,not really not even Mr Speaker I do believe that you have more you",The speaker is questioning the authority or competence of the Speaker or another member.,The speaker is defending their actions or decisions made with their powers.,The speaker is seeking clarification or understanding of the Speaker's suggestion or implication.
1635_edb03cd6375f11edb72e0603bdd00153.wav,"From Lamu to Juba, Addis Ababa railway line, oil refinery of 2240 kilometers and one of and what was supposed to happen is that the other components of the project include construction of three resort cities at Isiolo, Lamu and Lokicha.",The speaker is outlining the components of a proposed project.,The speaker is providing details about the scope of the project.,The speaker is describing the infrastructure development plans.
1636_37e1bfc0377211eda89d0603bdd00153.wav," ""Senator Saka'ajah's motion or proposal. Mr Speaker sir."" ""Sorry, what's your point of order""",Requesting recognition to speak,Seeking clarification on a point of order,Maintaining order in the proceedings
1637_249c9bc0376711ed86640603bdd00153.wav,"Scanner in a in a in a major comeback to acquire Amisha. We'll see. Some like QA and he and I find your crazy now. Keep you happier, Governor. Two economy. Hula. Hula.",Requesting clarification,Providing justification,Contributing to formal proceedings
1638_8d44a0b8376311ed97f50603bdd00153.wav,"[foreign language]Order number 8 motion, alterations of the Senate calendar make reservations for the fourth session 2020 part five.[Foreign language]",The speaker is proposing a change to the Senate calendar for the fourth session of 2020.,The speaker is requesting that reservations be made for the fourth session of 2020.,The speaker is moving to alter the Senate calendar for the specified session.
1639_bfb727ca376111ed9f040603bdd00153.wav,[silence] Thank you Madam Speaker for this opportunity to support this motion in this...,The speaker is expressing gratitude for the opportunity to contribute to the discussion.,The speaker intends to provide support for the motion being proposed.,The speaker is initiating their statement to address the motion.
1640_b59e9696376211ed8a810603bdd00153.wav,"of these contractors, so the country does not benefit, all that we see is a service but does not benefit in the way that will build capacity",The speaker is expressing concern that the current arrangement is not beneficial to the country.,The speaker is questioning the effectiveness of the current system in building capacity.,The speaker is suggesting that the current service is not meeting the country's needs.
1641_2ae6f658376011edaf5f0603bdd00153.wav,"So I ask that you direct the committee to act in speed and that before that is done, not a single centimetre of land owned by Nairobians,not a single piece of machinery, should be allowed to be sold to cover assets, because this could also.",The speaker is requesting the committee to act with urgency.,The speaker is seeking to prevent the sale of assets owned by Nairobians to cover committee expenses.,The speaker is attempting to justify the need for caution in handling committee finances.
1642_5edd4116375f11ed9ef90603bdd00153.wav,"The Chinese, Mr speaker.Are doing jobs like my colleagues have said. What are Kenyans can do? I have seen on the highway, Mr Speaker, just one second. I've seen on the highway, Mr Speaker manage for Senator. Thank you, Mr Speaker, Chinese driving.",The speaker is questioning the capabilities of Kenyans in comparison to the Chinese.,The speaker is highlighting a personal observation to support their point.,The speaker is expressing skepticism or doubt about the abilities of Kenyans.
1643_1466c9ae375f11ed8cc30603bdd00153.wav,"This is the second or third parliament since independence. Then, it falls a bit short in the sense that then it's not really amending to align most of the procurement Act with the challenges ",The speaker is evaluating the effectiveness of the current parliament in addressing the country's challenges.,The speaker is suggesting that the current parliament is not adequately addressing the procurement Act's alignment with the country's challenges.,The speaker is providing a critical assessment of the parliament's performance in relation to the country's procurement Act.
1644_e2292a10376611edb0240603bdd00153.wav,"I want to say this before the chairman of energy leaves. I am a victim of one of the people who approached you recently about the Kiboko oil spills statement and I came to the chair. Mr speaker if I have violated some rules I must apologize. But it was an emergency, and that emergency ","The speaker is seeking to address the chairman before they leave, possibly to discuss a pressing matter.","The speaker is providing a personal context to justify their actions, specifically mentioning a recent incident involving the Kiboko oil spills.","The speaker is requesting leniency for any potential rule violations, citing an emergency as the reason."
1645_05209e78376111ed90f30603bdd00153.wav,"You are recommending in order to enhance public sector investment and increase efficiency of public spending. National and country treasuries should apply best practice in project appraisal and selection. Madam speaker, I think we need to",The speaker is advocating for improved public sector investment and efficiency.,The speaker is suggesting the adoption of best practices in project appraisal and selection.,The speaker is seeking the speaker's agreement or support for their proposal.
1646_eafc1c1e376211edaeac0603bdd00153.wav,"The police officers from another tribe Mr speaker, were the tribe which was trying to defend me and telling that other tribe, that come on, Mume Shamfikisha, we shall deal with him. But the other guys were insisting on even assaulting me, Mr speaker. It is sad.",The speaker is recounting a personal experience to provide context for their current situation.,The speaker is expressing frustration and sadness about the events that occurred.,The speaker is seeking support or understanding from the assembly regarding their experience.
1647_36147c86376411ed8a810603bdd00153.wav,"And why am I bringing up about this kinds of depression, is because I want to really make it clear in the floor of this house, yes we have this kind of depression, but is possible for us a nation to sort out and manage this depression.",The speaker is drawing attention to a specific issue to emphasize its importance.,The speaker is attempting to reassure the audience that the problem is manageable.,The speaker is advocating for a collective effort to address the issue.
1648_f848127e377111eda89d0603bdd00153.wav,"But one with a strong, string spirit and when he was with us. In the other House we were very well with Ramadan [inaudible] and just want to take this opportunity to wish the family well",Expressing condolences and sympathy to the family of the deceased member.,Acknowledging the passing of a colleague and showing respect.,Taking a moment to pay tribute to the late member's memory.
1650_3cc8dbf2376f11edbaf70603bdd00153.wav,"Situations, to manage other situations where we have people who have eventually become disabled and they cannot believe that they are losing one eye and they're using only one eye to see, Mr speaker, these people need to be rehabilitated so they can move on with their lives Mr speaker",Support a proposal for rehabilitation services for individuals who have lost an eye,Provide justification for the need for rehabilitation services,Request consideration for the well-being of individuals who have lost an eye
1651_c9ab8bd8376411ed90f30603bdd00153.wav,"Taking care of county Assembly Member,they can come with a statement Mr Speaker to the house county assembly member,can make a statement in the house,can come with a motion,can come with a bill,can you know ask questions in the house,the speaker that again",The speaker is clarifying the rules and procedures for county assembly members.,The speaker is providing information on the rights and privileges of county assembly members.,The speaker is seeking to confirm the understanding of the rules and procedures for county assembly members.
1652_f8e7af36377211eda89d0603bdd00153.wav,Order members! Order members!! Order members!!! Order members!!!! Order Order members! Order! Order! Order members! Order members!!,The speaker is attempting to regain control of the discussion.,The speaker is trying to restore order in the chamber.,The speaker is seeking to maintain decorum and discipline among the members.
1653_0748c81c375f11ed8a810603bdd00153.wav,"Subcounted quarters, collects this IDs for youths with they know them, they know where they reside then you deliver it to them, that's what we expect from our administrators. So I really thank Senator Dulo for this statement and I hope that the committee",The speaker is expressing a requirement for effective administration and service delivery to the youth.,The speaker is acknowledging and appreciating the statement made by Senator Dulo.,The speaker is hoping for a positive outcome from the committee.
1654_d48bf732377211eda89d0603bdd00153.wav,"Because I was [Inaudible] getting embarrassed but here we are quarreling, elders quarrelling over 10%-over 10% of the budget. And I don't see similar quarrels over the 85%-","The speaker is criticizing the focus of the debate, suggesting that the disagreement is misplaced.",The speaker is highlighting the disproportionate attention given to a minor aspect of the budget.,The speaker is implying that the real issues are being ignored in favor of petty squabbles.
1656_c3d8e2f0376e11eda89d0603bdd00153.wav,"Payments will be contractual I think is short-sighted'','' perhaps those who continue talking about wage bill '','' those who continue talking about shortage of money do not understand the importance of a motivated worker''.''",The speaker is criticizing the idea of making payments contractual.,The speaker believes that those opposing the proposal do not understand the value of motivated workers.,The speaker is arguing that a motivated workforce is crucial for success.
1657_f2964000376011ed97f50603bdd00153.wav,"Do do not violate on their rights and also harass them, on daily basis you will see that this small vendors are actually chased left right and center and more importantly you will find that the people who are running these kind of businesses they are mothers they",The speaker is advocating for the protection of vendors' rights.,The speaker is highlighting the negative consequences of harassing vendors.,"The speaker is drawing attention to the human impact of the situation, specifically the fact that vendors are often mothers."
1658_88b558b2377211ed93df0603bdd00153.wav,Participation. There is need for infrastructure to come up for the purpose of ensuring that the public can meet somewhere and they're informed of what they do not know. They're informed about the amount of money that has been sent to their counties. And they're informed about the,The speaker is advocating for the establishment of a system to provide transparency and information to the public.,The speaker is highlighting the importance of public awareness and education regarding government spending and activities.,The speaker is suggesting a need for infrastructure to facilitate public engagement and understanding of government actions.
1659_9aee05b2377011edbaf70603bdd00153.wav,"And nobody take,took care of them. I felt it when i went on the ground and they were playing against teams against in the county [inaudible]. It was encouraging to them,it was encouraging.",The speaker is expressing a personal experience to emphasize a point.,The speaker is providing a personal anecdote to justify their opinion.,The speaker is attempting to build empathy with their audience by sharing a relatable experience.
1660_fdd0f5ba376911ed97f90603bdd00153.wav,"Meeting the House, but that by saying that I I said that I said that directing. I didn't say the national after all the National Assembly cannot direct the Senate. It can and it will never direct the Senate. It can only contribute and we can only contribute.",Clarifying the role of the National Assembly in relation to the Senate.,Asserting the limitations of the National Assembly's authority.,Providing a correction to a previous statement regarding the relationship between the two legislative bodies.
1661_0e18a4c2376511edb0240603bdd00153.wav,Home delivery of crop Within 30 days you have received your payment. This is a kind of normalcy that our residents are clamouring for and therefore it will be extremely difficult for I as their leader to accept this.,The speaker is expressing a strong opposition to the proposal.,The speaker is emphasizing the importance of a specific policy or service to the residents.,The speaker is asserting their leadership stance on the issue.
1662_2b48fc4a377411ed97f90603bdd00153.wav,Gives NTSA is giving to the poor youth who have to travel long distances and sometimes they spend days before they get the smart licences. I thank you Mr speaker. Next statement is by senator Sakaja ,The speaker is expressing concern for the difficulties faced by poor youth in obtaining smart licenses.,The speaker is advocating for support or assistance for the poor youth in this situation.,The speaker is thanking the speaker of the house for allowing them to speak.
1663_f36387ae376f11eda89d0603bdd00153.wav,"In 1920, for a period of 99 years that the British soldier surrendered the land to the government in 1980 and was reallocated to voice Israel Estate Limited, which then transferred the lease.",The speaker is providing historical context to support a proposal or argument.,The speaker is clarifying the ownership and transfer of land to justify a current situation.,The speaker is presenting factual information to inform the formal proceedings.
1664_cc882724377511ed97f90603bdd00153.wav,Continue to do better as I join to salute our discipline forces who continue to safeguard our people against terrorism and other crimes and who often pay the ultimate prize in service and in the line of duty to our country and our people ,The speaker is expressing appreciation and gratitude towards the discipline forces for their service and sacrifices.,The speaker is acknowledging the bravery and dedication of the discipline forces in safeguarding the country and its people.,The speaker is paying tribute to the discipline forces who have made the ultimate sacrifice in the line of duty.
1665_5168ef4c377011eda89d0603bdd00153.wav,"Go to a bank and obtain a loan, having clarified this methods of registration it will now be easier you bring those effect.",The speaker is proposing a course of action to facilitate a process.,The speaker is providing justification for a proposed change or improvement.,The speaker is attempting to make a process more efficient.
1666_6c192710377211ed97f90603bdd00153.wav,And teacher training in the region. Further concern that both the school completion rate in the nation's examination outcome in the regions are poor and that the number of students from northern Kenya who qualify for core courses in universities ,The speaker is highlighting the need for improvement in education in the region.,The speaker is expressing concern about the poor performance of students in national examinations.,The speaker is drawing attention to the limited access to core university courses for students from northern Kenya.
1667_894cfc0c375f11ed9ef90603bdd00153.wav,"Honestly he is not, the fact that if everything was working well they should not even have a reason but has we know very well. This country we tend to politics a lot. We tend to take advantage of situations and that is exactly what has happened  in this case",The speaker is criticizing the current situation and implying that it is a result of political manipulation.,The speaker is suggesting that the country's tendency to politicize issues has led to the current problem.,The speaker is expressing frustration that the situation has been exploited for political gain.
1668_57779a42377411ed97f90603bdd00153.wav,And therefore it's important for us to avert that situation now than to wait for the next 10 years and find ourselves in a place where there's a flare of conflict around many boundaries. Again madam speaker we need not forget ,The speaker is warning against delaying action and advocating for immediate resolution to prevent potential conflict.,The speaker is emphasizing the importance of addressing the issue promptly to avoid future complications.,The speaker is cautioning against complacency and urging the need for proactive action.
1669_20461e4e376611ed86640603bdd00153.wav,"Not only about the Auditor books, it also important to. Audit projects and that is why normally you see the committee. Visit various county visits led by our chairman on various occasions so that one inch Madam Speaker feel that.",The speaker is highlighting the importance of auditing projects in addition to the Auditor's books.,The speaker is providing an example of the committee's efforts to fulfill its responsibilities.,The speaker is attempting to establish the committee's credibility and effectiveness.
1670_73789cbc376711ed9f040603bdd00153.wav,"Like this. And it tries to do is to ensure that legislation is there to protect the elderly. She's very clear. And another thing that Senator, yamunga is asking for the Senate to do on behalf of the elderly is to ensure, ",Supporting a proposal to protect the elderly,Providing justification for a legislative action,Requesting the Senate to take action on behalf of the elderly
1671_2a85e302376c11eda89d0603bdd00153.wav,"Madam speaker that you defer until a later date,thank you. Honorable Senators the matters,order number 15 and order number 16 are also both.",Requesting to postpone the discussion on the matters at hand.,Acknowledging the honorable senators and their presence.,"Moving on to the next agenda items, orders 15 and 16."
1672_b16fe69c376211ed8a810603bdd00153.wav,"Kenyans who we can take pride in. Not Chinese, Japanese, British or any other. People who at the end of the day, they take off and there's no benefit of having registering those people for any of the things that we do. We must take...",The speaker is expressing nationalistic sentiment and emphasizing the importance of Kenyan identity.,The speaker is making a case for excluding certain groups from benefits or privileges.,The speaker is advocating for a policy or action that prioritizes Kenyan citizens.
1673_fb4ee328376011ed86640603bdd00153.wav,"And I'll put the question which is that pursuant to Standing Orders 184 and 189 Three, the Senate approves the following Senators nominated to serve in the Senate Business Committee in addition to the Speaker of the Senate who pursuant to Standing Order 184, one shall be.",The speaker is proposing a motion to approve the nomination of Senators to serve in the Senate Business Committee.,The speaker is providing justification for the nomination by referencing relevant Standing Orders.,The speaker is formalizing the nomination process in accordance with parliamentary procedure.
1676_9d688270376811ed90f30603bdd00153.wav,"And to also to mention here that in so doing,they should also have regard to the United Nations scored on the use  of forums by law enforcement agencies which is existing ",The speaker is suggesting that the consideration of the proposal should take into account the existing practices of law enforcement agencies as per the United Nations guidelines.,The speaker is recommending that the proposal be evaluated in the context of international standards and best practices for law enforcement.,The speaker is urging the consideration of the United Nations' stance on the use of forums by law enforcement agencies in the proposal.
1677_050da422376a11eda89d0603bdd00153.wav,Consultation or development in counties is exclusive to them.This bill does not assign a development role.To the county leaders forum.It assigns.,The speaker is clarifying the role of county leaders in the bill.,The speaker is pointing out a distinction between the bill's provisions and existing practices.,The speaker is questioning the effectiveness of the bill's approach to development.
1679_3e19c25e377511eda89d0603bdd00153.wav,"Thank you madam speaker. Thank you, senator for Krukana, are you in a position to prosecute your statement? Yes. Go  ahead. Thank you madam speaker. [Inaudible]",Requesting permission to proceed with a statement,Acknowledging the speaker's turn,Requesting clarification due to inaudible content
1680_3cec900e376711ed86640603bdd00153.wav,charity and so with those few remarks to speak I beg to move and request Senator Fari here to second I thank you,The speaker is moving a motion and requesting another senator to second it.,The speaker is seeking support for their proposed action.,The speaker is formalizing a request for a senator to endorse their proposal.
1681_9dcab954376311ed90f30603bdd00153.wav,"Which looks at source of revenue and the conversation has been ongoing and I believe that the chair of finance will update us at the right time that when we are giving that physical responsibility award to counties, it should not just focus on source of revenue. It needs to go beyond that.",The speaker is suggesting that the consideration of revenue should be expanded beyond its current scope.,The speaker is requesting that the chair of finance provide additional information on the matter.,The speaker is advocating for a more comprehensive approach to the physical responsibility award to counties.
1682_519c80a4376711ed8a810603bdd00153.wav,Very difficult period but we must be on the watchout normally when things look like they are working well that is the most dangerous moments in every republic.In the year 20 no 19.,Warning of potential complacency and the dangers of overconfidence.,"Cautioning against taking things for granted, even when things seem to be going well.",Highlighting the importance of vigilance in times of relative stability.
1683_45506d1e376811ed97f50603bdd00153.wav,"An entity, and we are actually here to ensure that when angels are served selflessly, and so we must also be selfless in defending the Constitution, we must be selfless in ensuring that services reach out to the common man, Mr Speaker.",The speaker is emphasizing the importance of selflessness in upholding the Constitution and serving the common man.,The speaker is highlighting the need for a sense of duty and responsibility in defending the Constitution and providing public services.,"The speaker is advocating for a selfless approach to governance, prioritizing the needs of the common man over personal interests."
1684_2ab7ae58375f11ed9ef90603bdd00153.wav,"Open word.What's your point of orders in the?Kilonzo Mr. Speaker, you you must make a ruling because the the Senator of Drew Ghana has taken personalism literally.",The speaker is requesting a ruling from the chair to address a perceived infraction.,The speaker is pointing out a contradiction or inconsistency in the Senator's behavior.,The speaker is seeking clarification or resolution on the Senator's actions.
1686_269f760c376e11ed97f90603bdd00153.wav,"And it means the money allocated for our counties, the sensors are out. I've seen Tarakan need is not doing very well. Maybe you should encourage women to men to go home early by 7 and start baby making session so that the quiet numbers can go up and that is what.",The speaker is suggesting a potential solution to address the issue of low population growth in their county.,The speaker is advocating for a policy change to encourage families to have more children.,The speaker is proposing a specific action to be taken to address the demographic concerns in their county.
1687_9a711a0c376611ed90f30603bdd00153.wav,the committee on there observation that the dam had no  spill way to drain excess water and there were no licenses on those dams and that is a very serious offence,The speaker is pointing out a critical flaw in the dam's design and operation.,The speaker is highlighting a potential safety hazard and a breach of regulations.,The speaker is drawing attention to a serious issue that requires immediate attention and action.
1688_757c8bb4377011edbaf70603bdd00153.wav,I beg to move the motion creation of county passports associations in the 47 counties that aware that sport has the unique ability to try.,The speaker is proposing a new motion to create county passports associations.,The speaker is highlighting the importance of sports in the counties.,The speaker is requesting the creation of a new initiative to promote sports in the counties.
1689_ff988e08377311ed93df0603bdd00153.wav,This that Africa is what it is today.Mr Speaker if a visitor were to visit Nairobi and was to be informed that the senate of the Republic of Kenya is meeting this afternoon and they were given.,The speaker is providing background information or context.,The speaker is setting the scene or establishing a reference point.,The speaker is possibly introducing a topic or transitioning to a new subject.
1690_557c4942377211ed97f90603bdd00153.wav,"Senators is as a result of the division, objection, zero, no(s), zero, hi (s), 27 , the hi(s) have it. Next order, order number 14, motion",The speaker is calling for a vote or division on a proposal.,The speaker is moving on to the next item on the agenda.,The speaker is announcing the outcome of a previous vote.
1691_1a1d1cf6377111ed97f90603bdd00153.wav,Heard it that was taken and tested and found to be 30% more alkaline than is required for any bovine digestion. So Mr. speaker ,The speaker is providing evidence to support a claim or proposal.,The speaker is presenting a fact or statistic to inform the discussion.,The speaker is yielding the floor to the speaker of the house.
1692_b0aaf50a376511edb0240603bdd00153.wav,"To establish ourselves as a Upper House. Indeed just recently, we were actually wondering whether even then, be that as it may, whether Senate is also becoming ",The speaker is attempting to clarify the role of the Upper House.,The speaker is establishing a context for the discussion.,The speaker is questioning the relevance of the Senate's status.
1693_e48e6624376d11ed93df0603bdd00153.wav,"Offer, restrain and establish public security.This is an acceptable as the National Police Service is taught in totality, is established and fully funded by taxes to maintain law and order.",The speaker is advocating for a proposal to prioritize public security.,The speaker is justifying the necessity of the National Police Service in maintaining law and order.,The speaker is establishing the legitimacy of the National Police Service's funding through taxation.
1694_2cbd10be377611ed97f90603bdd00153.wav,"In the history of this country,we had a total shutdown for a whole week, of the media,that is not a free republic,that is not freedom of expression and speech.Was is it fair? ,i dont",The speaker is criticizing the current state of media freedom in the country.,The speaker is questioning the fairness of the government's actions.,The speaker is expressing their opinion on the importance of a free republic and freedom of expression.
1695_a03ae2ba376111ed9f040603bdd00153.wav,"Regarding the laws of 2.3 billion Kenyan shillings at the National Oil Corporation of Kenya. In the statement the committee should, 1. State the circumstances that led to the diversion of fuel products and fossilification.",The speaker is requesting the committee to provide a detailed explanation of the circumstances surrounding the diversion of fuel products and the process of fossilification.,The speaker is seeking clarification on the events that led to the diversion of fuel products and the resulting fossilification at the National Oil Corporation of Kenya.,The speaker is asking the committee to account for the circumstances that led to the diversion of fuel products and the subsequent fossilification of resources at the National Oil Corporation of Kenya.
1696_ecaad92c375f11edb72e0603bdd00153.wav,"To then an Ethiopian while opening up the region to global trade opportunities, we are not really realized, reason being some of the projects, some of the flagships and reshilling airport or reshilling airport quote and quote is supposed to be one of those flagship projects, vision 20",The speaker is attempting to justify the government's decision to open up the region to global trade opportunities.,"The speaker is highlighting the importance of a specific project, the reshilling airport, as a flagship initiative.","The speaker is providing a reason for the government's actions, citing the need to realize economic potential."
1697_5259cbaa376711ed86640603bdd00153.wav,Then those who have good ideas may not necessarily see light of day if they do not have an opportunity to run effectively because of the high cost of campaigning .In 2017 for example when I was running to be the member of parliament for Ruiru I spent over.,The speaker is highlighting a challenge faced by individuals with good ideas in the political arena.,The speaker is sharing a personal experience to illustrate the difficulty of running a successful campaign.,The speaker is suggesting that the high cost of campaigning is a barrier to entry for many individuals.
1698_3336ebc4376a11ed93df0603bdd00153.wav,"To assist in criminal racket. But too, embarrassing this house that members of this house would call policemen could do anything wrong and then call police to cover. So this is a very serious issue, in fact, when it comes to represent",The speaker is criticizing the actions of members of the house and the police.,The speaker is highlighting a serious issue with the relationship between the house and the police.,The speaker is expressing concern about the credibility of the house in light of its members' behavior.
1699_20b12fdc376511ed9f040603bdd00153.wav,that the salaries and numerations commission ammendment bill senate bill number 31 of 2020 be now read a 3rd time and i call upon senator senior council James Aggrey Bob Orengo to second,The speaker is requesting a senator to second the bill.,The speaker is moving to proceed with the final reading of the bill.,The speaker is formally calling for the bill to be brought to a vote.
1700_462d0732376911edbaf70603bdd00153.wav,"In the meeting where the President is excellence, Guru Kanyata was the chief guest during the launch of Strategic Judiciary report for the next five years and one of the one of the major impediment to especially National.",The speaker is introducing a notable guest and highlighting a significant event.,The speaker is drawing attention to a major obstacle or challenge in the National context.,The speaker is providing context for the Strategic Judiciary report and its relevance to the country.
1701_b807eb24376411edb0240603bdd00153.wav,"Bills which originated from the Senate among them,the office of the county attorney Bill, petition to county assemblies procedure Bill,and the Early Childhood Education Bill",The speaker is listing and acknowledging bills that originated from the Senate.,The speaker is providing information about the bills that require consideration.,The speaker is informing the assembly about the bills that need to be addressed.
1703_5265a3f8376711ed9f040603bdd00153.wav,"ended as proposed in the order paper,i propose the question Article 17 be amended as proposed,I put  the question that clause 17 be amended as proposed division at the end.Clause 18 ,I propose the question that clause 18 be deleted",The speaker is proposing an amendment to Article 17.,The speaker is requesting a division on the proposed amendment to Article 17.,The speaker is proposing the deletion of Clause 18.
1704_a1e0ce7e376e11eda89d0603bdd00153.wav,"That's about them and the speaker that they will look after their welfare, that Mister Speaker Small Issues like I will be coming with the whole of fame bill. Small issues like recognition with the Speaker, Medals of Honours the Speaker. Durham public holidays they be given order of",The speaker is attempting to express appreciation and gratitude towards the Speaker and the proposed bill.,The speaker is highlighting the importance of recognizing the Speaker's contributions and achievements.,The speaker is requesting that the proposed bill be given priority or special consideration.
1705_6f94e154376811ed97f50603bdd00153.wav,"I propose the question that clause 8 be part of the bill, move up Chairperson, I beg to move that clause 8",The speaker is proposing an amendment to the bill.,The speaker is requesting the chairperson to consider their proposal.,The speaker is formally submitting their proposal for consideration.
1706_e4a33d0c377111edbaf70603bdd00153.wav,"And bulldozing Article one of the Constitution 20/20/10 stipulates that all sovereign power belongs to the people, not the Cabinet Secretary. As leaders in government, we we exercise it on their behalf. We should be able to provide these answers to Ken.",The speaker is justifying the exercise of power by the government leaders.,The speaker is emphasizing the source of power in the Constitution.,The speaker is requesting the ability to provide information to Ken.
1707_00a36ef0377211edbaf70603bdd00153.wav,"the [inaudible] education, the [Inaudible ] education that is being implemented in Kenya looked at, and it is good that as a vice chair of this you will look at it, and then invite me as a friend so that I can contribute more. Thank you",The speaker is requesting the vice chair to consider a specific education system implemented in Kenya.,The speaker is offering to contribute to the discussion on the education system.,The speaker is expressing gratitude for the opportunity to provide input.
